id,name,neighbourhood,room_type,property_type,bedrooms,bathrooms,accommodates,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365,amenities_count,host_is_superhost
1046,Lovely Apartment in Tower Hamlets,Tower Hamlets,Private room,Studio,1.0,2,2,45.21,1,176,4.8,310,4,f
1047,Lovely Cottage in Westminster,Westminster,Entire home/apt,Villa,3.0,3,6,,1,22,4.7,0,7,f
1048,Lovely House in Hackney,Hackney,Entire home/apt,House,2.0,2,4,219.96,2,94,3.7,258,4,f
1049,Lovely House in Westminster,Westminster,Private room,Studio,2.0,2,4,194.72,1,111,4.2,191,9,t
1050,Lovely Townhouse in Southwark,Southwark,Private room,Loft,2.0,1,4,171.48,1,248,,105,10,f
1051,Lovely House in Tower Hamlets,Tower Hamlets,Private room,Cottage,2.0,2,4,112.12,1,272,3.9,42,10,t
1052,Lovely Apartment in Camden,Camden,Entire home/apt,Studio,2.0,1,4,203.34,5,7,3.8,154,6,f
1053,Lovely House in Kensington & Chelsea,Kensington & Chelsea,Private room,Apartment,1.0,2,2,54.27,2,91,4.0,300,8,f
1054,Lovely Apartment in Greenwich,Greenwich,Private room,House,2.0,1,4,87.25,5,106,4.9,7,7,f
1055,Lovely Studio in Hackney,Hackney,Entire home/apt,Studio,1.0,1,2,148.65,3,27,4.1,110,10,f
1056,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Apartment,2.0,1,4,370.19,5,118,4.1,85,4,f
1057,Lovely House in Wandsworth,Wandsworth,Private room,Townhouse,2.0,2,4,113.75,3,66,4.5,235,4,t
1058,Lovely Villa in Wandsworth,Wandsworth,Entire home/apt,Cottage,4.0,2,8,196.33,1,228,4.9,111,7,t
1059,Lovely Loft in Lambeth,Lambeth,Private room,Studio,1.0,1,2,75.92,5,39,4.5,133,10,f
1060,Lovely Cottage in Lambeth,Lambeth,Private room,Loft,3.0,2,6,80.51,1,202,4.4,117,5,f
1061,Lovely Loft in Hackney,Hackney,Entire home/apt,Cottage,1.0,1,2,117.63,2,89,4.7,160,8,f
1062,Lovely Apartment in Lambeth,Lambeth,Entire home/apt,Townhouse,1.0,3,2,175.17,3,12,4.5,272,6,t
1063,Lovely Studio in Lambeth,Lambeth,Private room,Apartment,3.0,1,6,140.99,1,68,4.7,34,6,f
1064,Lovely Studio in Southwark,Southwark,Entire home/apt,Cottage,3.0,2,6,218.93,1,228,3.8,338,8,f
1065,Lovely Villa in Greenwich,Greenwich,Shared room,Apartment,1.0,1,2,26.21,3,295,4.2,142,10,f
1066,Lovely Studio in Westminster,Westminster,Private room,Villa,1.0,1,2,20.0,7,103,3.8,178,9,f
1067,Lovely Cottage in Hackney,Hackney,Private room,Studio,2.0,1,4,80.42,3,230,4.4,253,7,t
1068,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Private room,Cottage,4.0,1,8,146.01,1,293,4.3,183,9,f
1069,Lovely Studio in Lambeth,Lambeth,Entire home/apt,Studio,1.0,2,2,180.71,2,129,3.5,10,5,f
1070,Lovely House in Lambeth,Lambeth,Private room,Apartment,2.0,1,4,171.32,1,217,4.4,103,8,f
1071,Lovely Studio in Hackney,Hackney,Shared room,Cottage,3.0,1,6,56.2,1,126,3.7,296,6,f
1072,Lovely Townhouse in Islington,Islington,Entire home/apt,Villa,1.0,1,2,215.83,2,181,4.8,148,3,f
1073,Lovely Studio in Tower Hamlets,Tower Hamlets,Entire home/apt,Apartment,3.0,1,6,147.77,3,290,4.1,363,3,f
1074,Lovely Studio in Southwark,Southwark,Entire home/apt,Villa,2.0,1,4,93.05,1,160,4.0,48,9,t
1075,Lovely Villa in Hackney,Hackney,Entire home/apt,Townhouse,2.0,2,4,135.39,2,62,5.0,210,3,f
1076,Lovely Townhouse in Westminster,Westminster,Entire home/apt,House,2.0,1,4,232.92,2,17,3.9,112,5,f
1077,Lovely House in Southwark,Southwark,Private room,Loft,1.0,1,2,120.58,5,54,4.9,54,10,t
1078,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Private room,Townhouse,2.0,1,4,160.45,3,254,3.5,50,8,f
1079,Lovely Cottage in Lambeth,Lambeth,Entire home/apt,Villa,1.0,2,2,227.56,1,119,4.7,6,10,f
1080,Lovely House in Westminster,Westminster,Entire home/apt,Apartment,1.0,1,2,224.57,5,35,4.5,10,4,f
1081,Lovely Studio in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Loft,,2,2,420.98,7,292,4.1,363,8,t
1082,Lovely Apartment in Greenwich,Greenwich,Private room,Villa,5.0,1,10,127.17,3,223,4.1,236,5,f
1083,Lovely Cottage in Wandsworth,Wandsworth,Entire home/apt,House,3.0,3,6,257.41,3,28,3.8,33,9,f
1084,Lovely Studio in Wandsworth,Wandsworth,Entire home/apt,House,3.0,1,6,240.16,3,26,4.9,308,8,t
1085,Lovely Loft in Westminster,Westminster,Entire home/apt,Studio,1.0,1,2,,1,63,4.0,148,8,f
1086,Lovely Villa in Hackney,Hackney,Private room,Villa,1.0,1,2,88.45,3,97,4.1,288,10,f
1087,Lovely Apartment in Hackney,Hackney,Entire home/apt,Apartment,3.0,2,6,143.12,3,200,4.7,103,7,f
1088,Lovely Cottage in Islington,Islington,Entire home/apt,Loft,1.0,1,2,,5,101,4.4,304,5,t
1089,Lovely Cottage in Greenwich,Greenwich,Private room,Villa,2.0,1,4,131.54,3,79,4.8,199,10,t
1090,Lovely Townhouse in Wandsworth,Wandsworth,Private room,Apartment,2.0,1,4,139.44,1,25,3.6,85,4,f
1091,Lovely House in Tower Hamlets,Tower Hamlets,Private room,Studio,1.0,1,2,93.13,5,214,4.7,272,9,f
1092,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Townhouse,1.0,1,2,166.13,1,292,4.3,14,4,f
1093,Lovely Studio in Hackney,Hackney,Private room,Studio,1.0,2,2,84.38,7,15,4.1,28,6,f
1094,Lovely Townhouse in Tower Hamlets,Tower Hamlets,Entire home/apt,Loft,2.0,1,4,237.62,3,265,3.6,176,9,t
1095,Lovely Apartment in Lambeth,Lambeth,Entire home/apt,Apartment,1.0,1,2,,3,152,3.9,139,7,f
1096,Lovely Apartment in Tower Hamlets,Tower Hamlets,Private room,Townhouse,1.0,1,2,101.37,7,10,4.9,58,4,f
1097,Lovely Villa in Southwark,Southwark,Private room,Cottage,2.0,1,4,137.33,1,225,4.1,46,3,t
1098,Lovely Studio in Wandsworth,Wandsworth,Shared room,Studio,5.0,1,10,,1,177,4.2,119,3,f
1099,Lovely Cottage in Wandsworth,Wandsworth,Private room,Studio,2.0,1,4,133.33,1,104,4.1,123,5,f
1100,Lovely Loft in Lambeth,Lambeth,Private room,Cottage,1.0,1,2,126.18,7,36,3.8,113,7,f
1101,Lovely Apartment in Camden,Camden,Private room,Studio,1.0,2,2,132.58,5,236,4.6,168,10,f
1102,Lovely Cottage in Wandsworth,Wandsworth,Shared room,House,1.0,2,2,101.82,2,187,3.7,30,5,f
1103,Lovely House in Greenwich,Greenwich,Private room,Cottage,1.0,3,2,53.68,3,81,4.7,112,8,f
1104,Lovely Villa in Lambeth,Lambeth,Entire home/apt,Townhouse,2.0,1,4,212.77,2,162,3.7,223,5,f
1105,Lovely House in Tower Hamlets,Tower Hamlets,Entire home/apt,Villa,4.0,2,8,210.48,2,241,4.9,119,10,t
1106,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Hotel room,Townhouse,2.0,1,4,,1,250,3.7,32,7,f
1107,Lovely Studio in Camden,Camden,Entire home/apt,Loft,1.0,1,2,268.44,5,225,5.0,174,3,f
1108,Lovely Cottage in Southwark,Southwark,Entire home/apt,Studio,4.0,3,8,244.52,7,91,4.6,146,9,f
1109,Lovely House in Camden,Camden,Entire home/apt,Townhouse,1.0,2,2,228.12,2,161,3.8,26,10,f
1110,Lovely Studio in Wandsworth,Wandsworth,Private room,Cottage,3.0,2,6,154.47,1,173,4.3,180,9,f
1111,Lovely Villa in Greenwich,Greenwich,Private room,Apartment,3.0,1,6,87.71,1,205,4.4,213,8,f
1112,Lovely Villa in Tower Hamlets,Tower Hamlets,Private room,House,2.0,3,4,179.04,2,208,3.5,94,4,f
1113,Lovely Villa in Wandsworth,Wandsworth,Private room,Loft,3.0,1,6,125.35,3,213,4.6,201,3,f
1114,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,House,2.0,1,4,267.33,7,76,3.6,89,8,f
1115,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Private room,House,1.0,2,2,287.07,7,122,3.5,327,8,f
1116,Lovely House in Hackney,Hackney,Entire home/apt,Villa,3.0,1,6,240.83,2,83,4.3,2,8,t
1117,Lovely Villa in Greenwich,Greenwich,Entire home/apt,Loft,3.0,1,6,133.27,3,11,,220,7,f
1118,Lovely Apartment in Islington,Islington,Entire home/apt,Studio,1.0,1,2,277.72,3,210,3.8,201,10,f
1119,Lovely Loft in Southwark,Southwark,Entire home/apt,Loft,1.0,1,2,211.11,5,212,4.6,151,7,f
1120,Lovely Loft in Camden,Camden,Private room,Villa,2.0,2,4,167.41,3,227,4.8,242,4,f
1121,Lovely Villa in Southwark,Southwark,Entire home/apt,Townhouse,1.0,1,2,175.0,3,20,4.6,13,5,f
1122,Lovely Apartment in Islington,Islington,Entire home/apt,Loft,1.0,1,2,294.42,3,110,4.4,325,9,f
1123,Lovely Villa in Wandsworth,Wandsworth,Hotel room,Villa,1.0,2,2,171.19,2,163,,92,9,f
1124,Lovely Villa in Wandsworth,Wandsworth,Entire home/apt,Loft,1.0,2,2,,2,0,,106,3,f
1125,Lovely House in Tower Hamlets,Tower Hamlets,Entire home/apt,Villa,3.0,2,6,199.64,1,155,4.8,292,8,f
1126,Lovely Loft in Westminster,Westminster,Entire home/apt,House,2.0,3,4,288.22,2,160,4.3,241,8,f
1127,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Villa,5.0,1,10,439.23,2,183,4.3,335,4,f
1128,Lovely Townhouse in Islington,Islington,Entire home/apt,Villa,1.0,2,2,120.61,1,156,4.2,192,7,f
1129,Lovely Apartment in Greenwich,Greenwich,Entire home/apt,Villa,1.0,1,2,137.94,7,25,4.8,0,10,t
1130,Lovely Apartment in Tower Hamlets,Tower Hamlets,Private room,Apartment,2.0,1,4,118.16,7,191,3.6,268,3,f
1131,Lovely Apartment in Wandsworth,Wandsworth,Entire home/apt,Villa,2.0,2,4,235.68,2,131,4.5,88,8,f
1132,Lovely Apartment in Westminster,Westminster,Entire home/apt,Studio,1.0,2,2,261.51,1,92,4.2,266,3,f
1133,Lovely Cottage in Greenwich,Greenwich,Private room,Townhouse,2.0,1,4,51.31,2,116,4.7,270,3,f
1134,Lovely Townhouse in Islington,Islington,Private room,Cottage,3.0,3,6,60.73,5,20,3.8,280,9,f
1135,Lovely Studio in Camden,Camden,Entire home/apt,Cottage,4.0,1,8,,5,289,3.7,290,6,f
1136,Lovely Studio in Greenwich,Greenwich,Private room,Townhouse,3.0,1,6,78.47,3,131,4.7,73,8,f
1137,Lovely Cottage in Islington,Islington,Entire home/apt,House,3.0,1,6,,1,35,4.1,140,8,f
1138,Lovely Apartment in Southwark,Southwark,Entire home/apt,Cottage,2.0,2,4,267.29,7,270,4.4,151,4,f
1139,Lovely House in Greenwich,Greenwich,Entire home/apt,Apartment,1.0,2,2,167.6,2,99,4.1,68,4,t
1140,Lovely Studio in Camden,Camden,Private room,Loft,2.0,1,4,151.65,1,149,3.5,10,9,t
1141,Lovely Apartment in Wandsworth,Wandsworth,Entire home/apt,Studio,5.0,1,10,317.96,7,84,4.5,187,4,f
1142,Lovely Loft in Hackney,Hackney,Private room,Studio,2.0,1,4,77.12,2,35,3.6,352,3,t
1143,Lovely House in Wandsworth,Wandsworth,Private room,Studio,2.0,2,4,153.8,2,4,3.6,57,10,f
1144,Lovely Loft in Southwark,Southwark,Entire home/apt,Villa,1.0,1,2,,3,290,4.6,35,8,f
1145,Lovely Townhouse in Wandsworth,Wandsworth,Entire home/apt,Loft,2.0,1,4,104.41,7,54,4.6,117,3,f
1146,Lovely Townhouse in Lambeth,Lambeth,Private room,Apartment,1.0,2,2,66.03,3,83,4.4,37,4,t
1147,Lovely Villa in Hackney,Hackney,Entire home/apt,Townhouse,1.0,1,2,203.35,7,257,4.9,310,3,t
1148,Lovely Villa in Southwark,Southwark,Entire home/apt,House,5.0,2,10,256.64,3,11,4.9,157,4,f
1149,Lovely House in Southwark,Southwark,Entire home/apt,Apartment,1.0,2,2,224.92,2,162,3.8,288,4,f
1150,Lovely Cottage in Westminster,Westminster,Private room,House,3.0,1,6,178.21,2,24,4.5,78,4,f
1151,Lovely Cottage in Hackney,Hackney,Entire home/apt,Studio,1.0,2,2,111.57,1,42,4.4,344,6,t
1152,Lovely Apartment in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Loft,2.0,3,4,234.99,2,82,3.8,262,7,f
1153,Lovely Cottage in Westminster,Westminster,Entire home/apt,Loft,5.0,2,10,373.24,2,220,4.4,255,6,t
1154,Lovely House in Islington,Islington,Entire home/apt,Villa,2.0,1,4,276.51,2,85,4.9,245,9,f
1155,Lovely Loft in Tower Hamlets,Tower Hamlets,Private room,Studio,1.0,1,2,52.24,2,64,4.0,307,4,f
1156,Lovely Apartment in Tower Hamlets,Tower Hamlets,Entire home/apt,Cottage,1.0,1,2,178.76,2,251,4.5,41,5,f
1157,Lovely House in Westminster,Westminster,Hotel room,Loft,3.0,1,6,301.68,5,128,4.7,283,10,f
1158,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Apartment,2.0,1,4,320.97,2,172,3.7,7,10,t
1159,Lovely Villa in Wandsworth,Wandsworth,Private room,Loft,2.0,2,4,76.8,2,151,3.6,210,6,f
1160,Lovely Townhouse in Camden,Camden,Entire home/apt,Loft,1.0,2,2,268.45,5,7,3.9,135,8,f
1161,Lovely House in Wandsworth,Wandsworth,Hotel room,Cottage,2.0,1,4,208.41,1,291,4.4,346,8,f
1162,Lovely House in Southwark,Southwark,Entire home/apt,Townhouse,4.0,1,8,237.78,1,287,4.5,182,5,t
1163,Lovely Villa in Lambeth,Lambeth,Entire home/apt,Apartment,2.0,2,4,171.59,3,277,3.9,121,6,f
1164,Lovely Villa in Islington,Islington,Private room,Villa,1.0,1,2,99.16,3,148,4.6,134,7,t
1165,Lovely House in Southwark,Southwark,Private room,Townhouse,1.0,1,2,73.71,2,268,3.7,87,7,f
1166,Lovely Cottage in Southwark,Southwark,Entire home/apt,Villa,2.0,1,4,221.48,5,190,3.7,280,9,f
1167,Lovely House in Lambeth,Lambeth,Entire home/apt,House,1.0,1,2,157.06,1,260,4.8,9,6,f
1168,Lovely Villa in Islington,Islington,Private room,Loft,2.0,1,4,85.47,3,85,4.8,13,4,f
1169,Lovely Loft in Tower Hamlets,Tower Hamlets,Entire home/apt,Loft,1.0,1,2,168.5,5,69,4.8,226,7,t
1170,Lovely Apartment in Southwark,Southwark,Entire home/apt,Cottage,2.0,1,4,170.45,1,37,3.8,118,6,f
1171,Lovely Loft in Camden,Camden,Entire home/apt,Studio,2.0,1,4,196.88,2,253,4.2,365,8,t
1172,Lovely Loft in Lambeth,Lambeth,Entire home/apt,Villa,3.0,2,6,226.46,2,191,4.3,182,7,t
1173,Lovely Townhouse in Hackney,Hackney,Entire home/apt,Studio,3.0,2,6,185.28,3,117,4.5,46,3,f
1174,Lovely Cottage in Islington,Islington,Private room,Studio,2.0,1,4,241.54,1,60,5.0,253,5,f
1175,Lovely Loft in Southwark,Southwark,Entire home/apt,Apartment,1.0,3,2,165.96,2,34,4.1,191,5,f
1176,Lovely Villa in Southwark,Southwark,Private room,Apartment,1.0,3,2,20.0,1,128,4.7,315,6,t
1177,Lovely Villa in Wandsworth,Wandsworth,Private room,House,2.0,3,4,70.43,1,105,3.9,181,6,f
1178,Lovely House in Wandsworth,Wandsworth,Private room,Studio,1.0,1,2,55.45,1,183,3.6,195,4,f
1179,Lovely House in Islington,Islington,Entire home/apt,Loft,1.0,2,2,212.08,5,202,,141,9,f
1180,Lovely Townhouse in Greenwich,Greenwich,Hotel room,House,1.0,2,2,150.8,1,160,3.7,85,6,f
1181,Lovely Villa in Westminster,Westminster,Hotel room,Villa,1.0,1,2,361.42,5,42,3.6,329,8,t
1182,Lovely Townhouse in Kensington & Chelsea,Kensington & Chelsea,Private room,Villa,1.0,1,2,244.23,1,143,4.1,293,7,f
1183,Lovely Loft in Greenwich,Greenwich,Hotel room,Villa,3.0,1,6,200.48,1,31,3.9,231,6,f
1184,Lovely Apartment in Southwark,Southwark,Entire home/apt,Townhouse,1.0,3,2,206.54,3,167,5.0,247,4,f
1185,Lovely Cottage in Lambeth,Lambeth,Entire home/apt,Studio,1.0,2,2,134.09,1,166,4.5,267,3,f
1186,Lovely Townhouse in Lambeth,Lambeth,Entire home/apt,Villa,3.0,1,6,187.2,2,71,4.7,41,9,f
1187,Lovely Cottage in Southwark,Southwark,Private room,Loft,1.0,2,2,76.05,5,258,4.8,100,5,f
1188,Lovely Townhouse in Southwark,Southwark,Hotel room,Cottage,4.0,1,8,,3,15,5.0,268,7,f
1189,Lovely Villa in Southwark,Southwark,Hotel room,Villa,2.0,1,4,198.34,3,24,3.6,188,6,f
1190,Lovely Studio in Wandsworth,Wandsworth,Private room,Loft,2.0,2,4,124.18,2,212,3.9,276,8,t
1191,Lovely Villa in Greenwich,Greenwich,Entire home/apt,Apartment,1.0,1,2,172.91,5,40,4.6,138,4,f
1192,Lovely Villa in Camden,Camden,Entire home/apt,Apartment,3.0,1,6,296.57,3,247,3.6,0,9,f
1193,Lovely Loft in Islington,Islington,Entire home/apt,Apartment,1.0,2,2,250.7,5,293,4.0,354,7,t
1194,Lovely Villa in Kensington & Chelsea,Kensington & Chelsea,Private room,Villa,4.0,1,8,228.37,5,90,4.1,327,8,t
1195,Lovely Apartment in Camden,Camden,Hotel room,Studio,1.0,1,2,161.02,7,280,4.1,274,8,f
1196,Lovely Studio in Hackney,Hackney,Hotel room,Townhouse,2.0,1,4,158.76,2,123,4.7,119,6,f
1197,Lovely Villa in Hackney,Hackney,Entire home/apt,Apartment,1.0,1,2,120.62,1,88,4.7,67,7,f
1198,Lovely Cottage in Kensington & Chelsea,Kensington & Chelsea,Private room,Villa,2.0,2,4,98.58,5,126,4.4,157,10,f
1199,Lovely Studio in Kensington & Chelsea,Kensington & Chelsea,Private room,Apartment,2.0,1,4,142.94,1,171,3.7,64,7,t
1200,Lovely House in Islington,Islington,Entire home/apt,Loft,1.0,1,2,226.39,2,46,3.7,231,5,f
1201,Lovely House in Southwark,Southwark,Private room,House,3.0,1,6,220.18,2,27,3.9,360,6,f
1202,Lovely Studio in Islington,Islington,Entire home/apt,Studio,4.0,1,8,261.21,1,60,4.2,92,4,f
1203,Lovely Apartment in Camden,Camden,Entire home/apt,House,2.0,1,4,238.41,2,176,4.3,244,8,f
1204,Lovely Cottage in Greenwich,Greenwich,Entire home/apt,Studio,4.0,1,8,203.66,5,36,3.9,182,3,f
1205,Lovely Cottage in Camden,Camden,Entire home/apt,Loft,4.0,1,8,270.47,3,167,4.1,300,6,f
1206,Lovely Apartment in Greenwich,Greenwich,Private room,Townhouse,4.0,1,8,146.07,5,157,3.9,145,9,t
1207,Lovely Townhouse in Westminster,Westminster,Entire home/apt,House,1.0,1,2,271.51,3,83,4.9,104,6,f
1208,Lovely Loft in Camden,Camden,Private room,Studio,1.0,2,2,76.75,3,117,3.7,154,9,f
1209,Lovely Cottage in Southwark,Southwark,Private room,Cottage,5.0,2,10,151.18,5,267,3.9,126,3,f
1210,Lovely Cottage in Islington,Islington,Private room,Townhouse,1.0,1,2,74.57,2,106,4.1,121,5,f
1211,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Apartment,2.0,1,4,338.21,2,40,4.1,289,10,t
1212,Lovely House in Tower Hamlets,Tower Hamlets,Private room,Loft,1.0,2,2,89.0,2,46,3.7,125,7,f
1213,Lovely Cottage in Westminster,Westminster,Private room,House,2.0,1,4,269.48,2,115,4.4,343,8,f
1214,Lovely Studio in Hackney,Hackney,Entire home/apt,Cottage,1.0,3,2,141.33,2,233,4.1,29,8,t
1215,Lovely Villa in Greenwich,Greenwich,Entire home/apt,Loft,5.0,1,10,163.81,7,86,4.2,304,4,f
1216,Lovely Cottage in Southwark,Southwark,Entire home/apt,Villa,3.0,1,6,162.58,3,108,3.8,20,3,f
1217,Lovely Cottage in Islington,Islington,Entire home/apt,Apartment,1.0,1,2,198.9,3,124,4.2,337,9,f
1218,Lovely Cottage in Wandsworth,Wandsworth,Private room,Loft,2.0,2,4,134.22,7,7,3.6,63,3,f
1219,Lovely Loft in Kensington & Chelsea,Kensington & Chelsea,Private room,Apartment,2.0,2,4,205.53,5,148,4.6,11,9,f
1220,Lovely Loft in Camden,Camden,Entire home/apt,Villa,5.0,1,10,254.56,2,69,4.4,215,4,f
1221,Lovely Townhouse in Wandsworth,Wandsworth,Entire home/apt,Cottage,3.0,2,6,281.24,2,218,4.1,328,5,t
1222,Lovely Cottage in Westminster,Westminster,Private room,Cottage,1.0,1,2,242.72,7,62,4.8,188,5,f
1223,Lovely House in Kensington & Chelsea,Kensington & Chelsea,Entire home/apt,Apartment,2.0,2,4,282.27,1,53,4.3,183,10,f
1224,Lovely Loft in Camden,Camden,Hotel room,Apartment,2.0,2,4,123.92,3,29,3.5,36,3,t
1225,Lovely Villa in Lambeth,Lambeth,Private room,Villa,2.0,2,4,98.99,2,163,4.6,357,9,f
1226,Lovely Studio in Lambeth,Lambeth,Entire home/apt,Villa,3.0,3,6,161.49,1,289,3.5,144,5,f
1227,Lovely Townhouse in Greenwich,Greenwich,Entire home/apt,Villa,2.0,1,4,141.93,1,12,4.5,54,9,f
1228,Lovely Studio in Islington,Islington,Entire home/apt,Apartment,1.0,2,2,178.0,5,268,4.4,30,7,f
1229,Lovely Villa in Islington,Islington,Private room,Loft,2.0,2,4,20.0,2,53,3.6,334,10,f
1230,Lovely House in Hackney,Hackney,Entire home/apt,House,3.0,1,6,250.52,3,118,3.7,360,4,f
1231,Lovely Studio in Wandsworth,Wandsworth,Entire home/apt,Apartment,2.0,1,4,166.45,2,95,4.4,146,3,f
